C3L-00001	C3L-00001.RNA-Seq.R1.A	/gscmnt/gc2619/dinglab_cptac3/GDC_import/data/6f1bf159-5c80-41dc-87c4-593ace9987d6/171215_UNC32-K00270_0072_AHN3THBBXX_GAGTGG_S12_L004_R1_001.fastq.gz	6f1bf159-5c80-41dc-87c4-593ace9987d6
C3L-00001	C3L-00001.RNA-Seq.R1.T	/gscmnt/gc2619/dinglab_cptac3/GDC_import/data/8db05676-b96a-466a-bdbc-71db64e64c08/170802_UNC31-K00269_0072_AHK3GVBBXX_ACTTGA_S4_L006_R1_001.fastq.gz	8db05676-b96a-466a-bdbc-71db64e64c08
C3L-00001	C3L-00001.RNA-Seq.R2.A	/gscmnt/gc2619/dinglab_cptac3/GDC_import/data/a1647619-4448-4ea8-aa7e-6968fd2f61ad/171215_UNC32-K00270_0072_AHN3THBBXX_GAGTGG_S12_L004_R2_001.fastq.gz	a1647619-4448-4ea8-aa7e-6968fd2f61ad
C3L-00001	C3L-00001.RNA-Seq.R2.T	/gscmnt/gc2619/dinglab_cptac3/GDC_import/data/593e3888-d805-403e-813d-c10c9a34d539/170802_UNC31-K00269_0072_AHK3GVBBXX_ACTTGA_S4_L006_R2_001.fastq.gz	593e3888-d805-403e-813d-c10c9a34d539
C3L-00004	C3L-00004.RNA-Seq.R1.N	/gscmnt/gc2741/ding/CPTAC3-data/GDC_import/data/804bc1fd-f191-4415-985f-7572e367ccbb/171208_UNC32-K00270_0071_BHN7K5BBXX_GAGTGG_S57_L008_R1_001.fastq.gz	804bc1fd-f191-4415-985f-7572e367ccbb
C3L-00004	C3L-00004.RNA-Seq.R1.T	/gscmnt/gc2741/ding/CPTAC3-data/GDC_import/data/287dfdf2-9db1-4216-bffb-1b0a91d91a18/170802_UNC31-K00269_0072_AHK3GVBBXX_GATCAG_S14_L004_R1_001.fastq.gz	287dfdf2-9db1-4216-bffb-1b0a91d91a18
C3L-00004	C3L-00004.RNA-Seq.R2.N	/gscmnt/gc2741/ding/CPTAC3-data/GDC_import/data/eb0369b6-5af2-4066-a2b3-41f4d4a93719/171208_UNC32-K00270_0071_BHN7K5BBXX_GAGTGG_S57_L008_R2_001.fastq.gz	eb0369b6-5af2-4066-a2b3-41f4d4a93719
C3L-00004	C3L-00004.RNA-Seq.R2.T	/gscmnt/gc2741/ding/CPTAC3-data/GDC_import/data/b9e72d51-f52d-43b0-99fa-25c184f27a92/170802_UNC31-K00269_0072_AHK3GVBBXX_GATCAG_S14_L004_R2_001.fastq.gz	b9e72d51-f52d-43b0-99fa-25c184f27a92
C3L-00006	C3L-00006.RNA-Seq.R1.A	/gscmnt/gc2619/dinglab_cptac3/GDC_import/data/caea5e0c-f3be-4db4-8837-c3f5d89ac4a6/180313_UNC32-K00270_0085_BHT2MGBBXX_CCGTCC_S39_L007_R1_001.fastq.gz	caea5e0c-f3be-4db4-8837-c3f5d89ac4a6
C3L-00006	C3L-00006.RNA-Seq.R1.T	/gscmnt/gc2741/ding/CPTAC3-data/GDC_import/data/8a1efc47-1c29-417f-a425-cdbd09565dcb/170802_UNC31-K00269_0072_AHK3GVBBXX_TAGCTT_S17_L005_R1_001.fastq.gz	8a1efc47-1c29-417f-a425-cdbd09565dcb
